arg-id,x,y,probability,cluster-id
A1_0,-0.31781545,10.095205,1.0,3
A1_1,0.18938634,10.629845,0.6698012026374399,4
A1_2,-1.4247874,6.308107,0.4039940421882368,3
A1_3,1.6061039,6.9173026,1.0,3
A1_4,7.942675,3.183226,1.0,1
A1_5,1.8250287,2.4872756,0.0,2
A1_6,1.1089731,4.017215,0.46853747635011317,3
A2_0,2.1797702,6.328315,0.0,3
A2_1,5.6376157,4.938697,1.0,1
A2_2,-1.2735387,3.900035,0.25399337774182856,0
A2_3,-0.3737496,9.714717,0.0,3
A2_4,0.120054565,10.814678,0.0,4
A2_5,3.4149067,7.0863843,0.4290637548798284,3
A3_0,5.3087325,5.1234217,0.7171242032810832,1
A3_1,-0.8002936,8.763735,1.0,3
A3_2,-0.6566281,4.852059,1.0,0
A3_3,-0.13027225,11.022993,1.0,4
A3_4,0.26642153,8.207411,0.8920006612661873,3
A4_0,1.7365512,8.436096,0.276756976722991,3
A4_1,1.7137667,8.523142,1.0,3
A4_2,3.7265975,5.203929,0.0,1
A4_3,-1.3332055,3.9357336,1.0,0
A4_4,-1.2345926,6.1316357,0.6734149426272192,3
A4_5,1.6655034,9.146154,1.0,3
A4_6,5.3774557,5.1356044,1.0,1
A4_7,2.1173995,4.9705973,0.755565979033624,3
A5_0,1.8378559,5.600936,0.8161660990664724,3
A5_1,-0.013544888,11.416638,0.5271004783953162,4
A5_2,-0.83989686,4.7805133,0.846532761204081,0
A5_3,-0.2878284,11.080813,1.0,4
A5_4,1.6783639,9.187692,1.0,3
A5_5,0.5597288,9.375299,1.0,3
A5_6,-1.0580525,8.177604,0.32094530140244154,3
A5_7,-2.3671563,5.58334,0.9947022175813758,0
A5_8,6.9949327,3.6869433,1.0,1
A6_0,1.6609429,6.180522,1.0,3
A6_1,-1.9383197,10.113729,0.0,3
A6_2,-1.0436524,7.128475,0.9707531673498004,3
A6_3,0.44155377,6.8887844,0.9106288459133612,3
A6_4,4.6932316,6.565409,1.0,3
A7_0,0.4734226,6.9391966,0.8282384702930834,3
A7_1,-0.6646134,8.978563,1.0,3
A7_2,0.3228889,10.392916,0.794414770098323,4
A7_3,-0.6686854,8.482013,1.0,3
A7_4,-1.9879773,8.012577,1.0,3
A7_5,5.2047124,5.0978937,1.0,1
A7_6,-0.9493163,3.8287094,0.6903951514909716,0
A8_0,3.1985114,5.969202,1.0,3
A8_1,-1.1232396,6.015408,1.0,0
A8_2,-1.3729525,9.188331,1.0,3
A9_0,2.2401042,6.7478786,0.4124001741629857,3
A9_1,3.383358,5.3511777,0.7547202877889861,3
A9_2,-2.00462,8.038372,1.0,3
A9_3,-1.5120552,6.268961,0.4425407910823833,3
A9_4,-1.7055027,9.419872,1.0,3
A9_5,-1.3735607,3.84064,0.2881872507629211,0
A9_6,1.254642,4.720601,1.0,3
A10_0,2.7870321,7.6195254,0.4808226223565183,3
A10_1,6.3712735,4.8724384,1.0,1
A10_2,-1.4631739,9.740628,1.0,3
A10_3,1.9875247,5.0210104,0.14762466526378304,3
A11_0,1.8676598,5.9530454,1.0,3
A11_1,1.8652502,7.4835625,0.0,3
A11_2,3.7008765,7.501066,0.3388716899082607,3
A11_3,1.7735875,8.975672,0.96962840611107,3
A11_4,-1.4471364,8.011394,1.0,3
A11_5,5.3108687,5.222803,0.0,1
A11_6,6.453914,4.775332,1.0,1
A11_7,-0.7925359,8.58283,0.4865812498179901,3
A11_8,-1.1412877,9.515759,1.0,3
A11_9,1.3154055,5.2833843,1.0,3
A12_0,2.8461611,5.44839,0.9527544285095926,3
A12_1,5.874503,4.5181203,0.48587718569357163,1
A12_2,6.3834934,4.6625504,1.0,1
A12_3,3.4126427,4.790777,1.0,1
A13_0,1.3298925,2.1693254,1.0,2
A13_1,-0.9030951,5.233112,0.0,0
A13_2,4.099855,5.250004,0.7119586623565453,1
A13_3,5.1883326,5.281288,1.0,1
A13_4,-1.5509824,8.098664,1.0,3
A13_5,-2.4693956,9.11539,1.0,3
A13_6,0.27546498,11.344054,0.0,4
A13_7,-0.7072626,8.487366,1.0,3
A13_8,4.007139,4.07422,0.437367217823594,1
A13_9,2.2698321,8.592556,1.0,3
A14_0,1.6193465,6.5800214,0.6216692802558194,3
A14_1,1.6199003,6.883986,1.0,3
A14_2,0.30437455,10.415475,1.0,4
A14_3,2.7075546,5.9940977,1.0,3
A14_4,3.4172788,5.5055046,0.1596242268932941,3
A14_5,0.90217584,9.079759,1.0,3
A14_6,-1.2435875,5.471707,0.2827919138865579,0
A14_7,-1.3228819,6.929728,0.0,3
A14_8,-2.0250418,8.146246,1.0,3
A14_9,-2.238195,8.440901,1.0,3
A14_10,-0.35140508,3.8874202,0.6811399511407881,0
A14_11,-1.718052,6.998747,0.4409055319986935,3
A14_12,-0.813493,6.9582543,0.2264219095133894,3
A14_13,1.9405981,5.9911504,1.0,3
A15_0,-1.3808471,5.3119416,0.2268859163161578,0
A15_1,1.4373654,2.1986527,0.0,2
A15_2,-1.0549233,6.5721335,1.0,3
A15_3,1.5745856,5.0888863,1.0,3
A16_0,-0.6128557,6.7109914,0.0,3
A16_1,1.600081,6.855611,1.0,3
A16_2,0.022633648,10.426129,1.0,4
A16_3,-0.912141,6.953465,1.0,3
A16_4,1.5833884,5.024472,0.9872521158012423,3
A16_5,6.7622066,4.7858024,0.0,1
A17_0,1.8295223,6.668798,0.2986653569350548,3
A17_1,-1.2729572,6.234469,0.9369549354110978,3
A17_2,-1.5979756,6.284501,1.0,3
A17_3,-1.5709141,6.2083516,0.4573568717064359,3
A17_4,3.3249452,5.6369143,0.09637848793774524,3
A17_5,-1.5598181,9.872905,0.6946803183274584,3
A17_6,0.11417347,7.4279194,1.0,3
A17_7,2.1238453,4.9689884,1.0,3
A18_0,1.7162942,5.3683224,0.8551201334240894,3
A18_1,4.5822597,4.8838544,0.0,1
A18_2,-0.24454628,7.4460444,1.0,3
A18_3,0.8362175,9.045503,0.561861017485691,3
A18_4,2.7104654,3.6454842,1.0,3
A19_0,6.835383,4.654367,0.5673472575784178,1
A19_1,7.0597486,4.568003,0.0,1
A19_2,1.1743873,10.909584,0.9756224651447832,4
A19_3,-0.7687988,9.137686,0.854444104382308,3
A20_0,3.5837114,7.9820166,1.0,3
A20_1,4.5579457,3.9929626,0.9078613062722729,1
A20_2,5.1673336,5.2038035,1.0,1
A20_3,-2.4223645,8.967821,0.6449847416959669,3
A21_0,2.1752439,6.504945,0.7319003174852758,3
A21_1,1.6957644,1.6371039,1.0,2
A21_2,-0.8523772,7.221285,1.0,3
A21_3,-2.0210593,9.790669,1.0,3
A22_0,2.212259,6.588911,1.0,3
A22_1,-1.6548699,9.03498,0.7756126931704719,3
A22_2,-2.1111429,7.8715167,1.0,3
A22_3,0.15192917,6.3287864,0.891584268280167,3
A23_0,2.7343712,7.533058,0.49829491551504856,3
A23_1,3.914514,3.7232847,1.0,1
A23_2,4.9821367,4.325422,0.3714948317553884,1
A23_3,7.175645,3.271973,1.0,1
A23_4,6.7948155,4.158227,1.0,1
A23_5,6.479984,3.339442,0.35764576180833596,1
A23_6,0.9662862,7.6171923,0.0,3
A23_7,4.997198,3.407555,1.0,1
A23_8,6.332523,4.58655,1.0,1
A24_0,2.0870445,7.7814565,0.0,3
A24_1,-0.63295496,4.8745065,1.0,0
A24_2,2.2732203,7.864411,0.8134845980683489,3
A24_3,6.538555,5.100126,1.0,1
A25_0,2.2271538,6.730433,0.0,3
A25_1,-1.8280247,10.007993,0.5136072106367064,3
A25_2,1.1974185,9.713344,0.9558277272485041,3
A25_3,1.5560489,4.990038,0.6546197127768225,3
A26_0,5.7094393,4.9493103,1.0,1
A26_1,3.5060449,5.265155,0.44828088148778034,3
A26_2,-2.4582038,9.057994,1.0,3
A26_3,-0.9462116,4.6836505,1.0,0
A27_0,3.150565,6.033745,1.0,3
